#,Fraud Instance,Damaged Item,Item Not Avaiable,Item Not In Stock,Product Care Plan,Claim Amount,Registered Online,Age Group,Marital Status,Owns a Vehicle,Accomodation Type,Height (cms)
76,0,0,0,1,1,$243 ,1,27,In-Relationship,0,Owns a house,153
77,1,1,0,0,0,$44 ,0,41,Married,0,Owns a house,164
78,0,1,0,1,0,$217 ,1,44,In-Relationship,1,Owns a house,173
79,0,0,0,1,1,$70 ,1,40,In-Relationship,0,Rented,170
80,0,1,0,0,1,$206 ,1,42,"Unmarried,",0,Rented,162
81,0,1,0,0,1,$290 ,0,33,In-Relationship,0,Owns a house,170
82,1,1,0,0,0,$183 ,0,21,Married,1,Rented,157
83,0,1,0,1,0,$152 ,1,49,In-Relationship,1,Staying with Family,181
84,0,1,0,0,1,$250 ,0,48,In-Relationship,0,Rented,171
85,0,1,0,1,0,$243 ,1,28,Married,1,Rented,185
86,0,1,0,1,0,$196 ,1,47,Married,1,Rented,179
87,0,1,0,1,0,$213 ,1,35,"Unmarried,",0,Rented,174
88,1,1,0,0,0,$45 ,0,35,"Unmarried,",1,Rented,181
89,0,1,0,1,0,$134 ,0,33,Married,1,Owns a house,152
90,0,1,0,0,1,$269 ,0,50,In-Relationship,0,Rented,174
91,1,1,0,0,0,$297 ,1,45,In-Relationship,0,Staying with Family,177
92,0,1,0,1,0,$352 ,1,54,Married,0,Staying with Family,150
93,0,1,0,0,1,$61 ,1,25,"Unmarried,",0,Rented,160
94,0,1,0,0,1,$132 ,1,34,In-Relationship,1,Owns a house,179
95,0,1,0,0,1,$216 ,0,29,In-Relationship,1,Owns a house,185
96,0,1,0,0,1,$253 ,1,30,Married,1,Rented,173
97,1,1,0,0,0,$73 ,1,29,In-Relationship,1,Rented,175
98,0,1,0,1,0,$245 ,1,23,"Unmarried,",1,Owns a house,168
99,0,1,0,1,0,$97 ,1,50,Married,0,Rented,164
100,1,1,0,0,0,$269 ,0,22,"Unmarried,",1,Rented,178
101,0,1,0,1,0,$79 ,0,27,Married,0,Rented,171
102,0,1,1,0,0,$340 ,0,27,Married,0,Owns a house,185
103,0,1,0,1,0,$243 ,0,45,Married,1,Owns a house,182
104,1,0,0,0,1,$47 ,1,35,"Unmarried,",1,Owns a house,164
105,0,0,0,1,1,$252 ,1,35,Married,0,Owns a house,155
106,0,1,0,1,0,$154 ,0,26,In-Relationship,1,Owns a house,167
107,1,1,0,0,0,$192 ,0,54,In-Relationship,1,Rented,180
108,1,0,0,1,0,$101 ,0,44,In-Relationship,0,Owns a house,151
109,0,1,0,1,0,$68 ,1,29,"Unmarried,",1,Owns a house,161
110,0,1,0,0,1,$282 ,0,49,"Unmarried,",0,Rented,159
111,0,1,0,1,0,$145 ,0,52,"Unmarried,",1,Rented,182
112,0,0,0,1,1,$340 ,1,48,Married,0,Rented,189
113,1,0,0,0,1,$319 ,0,48,Married,0,Rented,165
114,0,1,0,1,0,$91 ,0,44,In-Relationship,0,Staying with Family,176
115,0,1,0,1,0,$47 ,0,19,Married,1,Staying with Family,162
116,0,1,0,0,1,$222 ,1,20,"Unmarried,",1,Rented,167
117,0,1,0,1,0,$184 ,0,32,"Unmarried,",1,Rented,189
118,0,0,1,1,0,$158 ,1,23,"Unmarried,",1,Rented,152
119,1,0,0,1,0,$351 ,1,35,In-Relationship,0,Rented,163
120,0,1,0,1,0,$332 ,1,31,"Unmarried,",1,Rented,181
121,1,0,0,1,0,$172 ,0,19,Married,0,Owns a house,157
122,0,1,0,1,0,$343 ,0,26,"Unmarried,",1,Staying with Family,169
123,1,0,0,1,0,$264 ,1,48,In-Relationship,0,Rented,184
124,0,1,0,1,0,$295 ,0,23,Married,1,Staying with Family,154
125,1,0,0,1,0,$168 ,1,26,Married,0,Staying with Family,165
126,1,1,0,0,0,$64 ,0,51,In-Relationship,0,Owns a house,156
127,1,1,0,0,0,$125 ,1,41,In-Relationship,0,Owns a house,159
128,0,1,0,1,0,$205 ,1,31,"Unmarried,",0,Rented,187
129,1,0,0,1,0,$154 ,1,37,"Unmarried,",0,Staying with Family,165
130,1,1,0,0,0,$51 ,1,43,"Unmarried,",0,Owns a house,184
131,0,1,0,0,1,$255 ,1,35,Married,0,Rented,189
132,1,1,0,0,0,$154 ,1,32,Married,0,Owns a house,161
133,0,1,0,1,0,$238 ,1,47,In-Relationship,0,Owns a house,153
134,1,1,0,0,0,$180 ,0,20,In-Relationship,1,Owns a house,158
135,0,1,0,1,0,$324 ,0,35,"Unmarried,",1,Owns a house,169
136,1,0,0,1,0,$252 ,1,49,In-Relationship,1,Rented,169
137,1,0,0,0,1,$167 ,0,40,In-Relationship,1,Staying with Family,187
138,1,0,0,1,0,$168 ,1,23,"Unmarried,",1,Owns a house,168
139,0,1,0,1,0,$161 ,1,53,"Unmarried,",1,Rented,189
140,1,0,0,1,0,$60 ,0,23,In-Relationship,1,Staying with Family,168
141,1,1,0,0,0,$116 ,0,39,Married,0,Staying with Family,186
142,0,1,0,1,0,$320 ,0,30,"Unmarried,",0,Staying with Family,151
143,0,1,1,0,0,$304 ,1,55,Married,0,Owns a house,153
144,0,1,0,1,0,$53 ,1,41,In-Relationship,1,Staying with Family,185
145,0,0,0,1,1,$246 ,1,47,Married,0,Staying with Family,156
146,0,0,0,1,1,$177 ,1,23,Married,1,Owns a house,170
147,0,1,0,1,0,$177 ,1,53,"Unmarried,",0,Owns a house,189
148,1,1,0,0,0,$72 ,1,18,"Unmarried,",1,Staying with Family,159
149,1,0,0,0,1,$136 ,1,25,Married,0,Staying with Family,151
150,1,1,0,0,0,$340 ,0,43,In-Relationship,1,Rented,175
151,0,1,1,0,0,$117 ,1,48,"Unmarried,",1,Rented,169
152,1,0,0,0,1,$37 ,1,35,In-Relationship,0,Staying with Family,153
153,1,0,0,0,1,$166 ,0,46,In-Relationship,1,Staying with Family,173
154,0,1,0,1,0,$235 ,0,49,In-Relationship,1,Staying with Family,179
155,0,1,0,1,0,$91 ,1,41,"Unmarried,",0,Owns a house,188
156,0,1,1,0,0,$168 ,1,28,In-Relationship,0,Owns a house,189
157,0,0,1,1,0,$36 ,1,49,In-Relationship,1,Owns a house,164
158,0,0,1,1,0,$264 ,1,28,"Unmarried,",1,Owns a house,170
159,0,1,0,1,0,$74 ,1,50,"Unmarried,",0,Owns a house,179
160,1,1,0,0,0,$332 ,0,45,In-Relationship,0,Owns a house,153
161,0,0,1,0,1,$252 ,1,19,In-Relationship,0,Staying with Family,160
162,1,0,0,1,0,$300 ,1,20,In-Relationship,0,Owns a house,167
163,1,0,0,1,0,$260 ,1,30,In-Relationship,0,Rented,188
164,1,1,0,0,0,$45 ,0,23,Married,0,Owns a house,178
165,1,0,0,1,0,$218 ,1,40,In-Relationship,0,Staying with Family,173
166,1,1,0,0,0,$164 ,1,40,Married,0,Staying with Family,152
167,0,1,0,1,0,$322 ,0,42,Married,0,Owns a house,182
168,0,1,0,0,1,$101 ,1,42,"Unmarried,",1,Rented,159
169,0,1,1,0,0,$250 ,1,44,"Unmarried,",0,Rented,162
170,1,0,0,1,0,$275 ,0,28,In-Relationship,0,Staying with Family,171
171,1,1,0,0,0,$215 ,1,19,"Unmarried,",1,Rented,182
172,0,0,0,1,1,$295 ,0,48,Married,0,Owns a house,189
173,1,1,0,0,0,$110 ,0,41,In-Relationship,1,Owns a house,190
174,0,1,1,0,0,$159 ,1,23,Married,0,Staying with Family,180
175,0,0,0,1,1,$192 ,1,54,Married,1,Rented,181
176,0,1,0,0,1,$191 ,0,42,Married,0,Staying with Family,176
177,1,0,1,0,0,$355 ,1,36,In-Relationship,0,Owns a house,188
178,1,1,0,0,0,$197 ,0,48,"Unmarried,",0,Owns a house,186
179,0,0,1,1,0,$65 ,0,43,"Unmarried,",0,Owns a house,180
180,1,1,0,0,0,$318 ,1,26,Married,1,Owns a house,181
181,1,1,0,0,0,$340 ,0,54,In-Relationship,0,Rented,168
182,1,1,0,0,0,$320 ,1,25,In-Relationship,1,Staying with Family,161
183,1,0,0,0,1,$351 ,0,45,"Unmarried,",0,Rented,190
184,1,0,0,1,0,$231 ,1,36,Married,1,Owns a house,186
185,0,1,0,0,1,$348 ,0,39,"Unmarried,",0,Staying with Family,171
186,1,1,0,0,0,$332 ,1,54,"Unmarried,",1,Rented,170
187,0,0,1,1,0,$168 ,1,24,"Unmarried,",1,Owns a house,176
188,0,1,0,1,0,$248 ,0,39,"Unmarried,",0,Staying with Family,160
189,1,1,0,0,0,$69 ,0,40,In-Relationship,1,Staying with Family,171
190,0,0,0,1,1,$273 ,1,19,Married,1,Staying with Family,184
191,1,1,0,0,0,$223 ,1,20,Married,0,Owns a house,153
192,1,1,0,0,0,$204 ,0,55,Married,0,Staying with Family,165
193,1,1,0,0,0,$146 ,1,24,"Unmarried,",1,Staying with Family,171
194,1,1,0,0,0,$110 ,0,50,"Unmarried,",1,Staying with Family,154
195,0,0,0,1,1,$89 ,0,19,"Unmarried,",0,Owns a house,166
196,0,1,0,1,0,$276 ,1,39,"Unmarried,",0,Rented,184
197,1,1,0,0,0,$90 ,0,18,"Unmarried,",1,Staying with Family,170
198,0,1,0,0,1,$37 ,0,51,"Unmarried,",0,Rented,188
199,0,1,0,0,1,$54 ,0,46,"Unmarried,",0,Rented,152
200,1,1,0,0,0,$233 ,1,55,In-Relationship,1,Owns a house,150
201,1,0,0,1,0,$182 ,1,26,"Unmarried,",1,Staying with Family,181
202,1,1,0,0,0,$193 ,0,50,In-Relationship,0,Staying with Family,161
203,0,0,1,1,0,$115 ,0,48,Married,1,Staying with Family,167
204,0,0,0,1,1,$266 ,1,23,Married,1,Rented,181
205,1,0,0,0,1,$273 ,0,50,In-Relationship,1,Rented,188
206,0,1,0,1,0,$277 ,0,41,"Unmarried,",0,Staying with Family,176
207,0,1,0,1,0,$127 ,1,29,In-Relationship,1,Rented,166
208,0,1,0,1,0,$56 ,0,50,Married,1,Staying with Family,163
209,1,1,0,0,0,$72 ,0,39,In-Relationship,0,Rented,167
210,0,1,1,0,0,$256 ,0,32,Married,1,Staying with Family,161
211,1,0,0,1,0,$124 ,1,30,In-Relationship,0,Staying with Family,184
212,0,1,0,0,1,$318 ,1,55,In-Relationship,0,Owns a house,174
213,0,1,0,1,0,$342 ,1,46,Married,1,Owns a house,166
214,1,0,0,1,0,$112 ,0,52,"Unmarried,",1,Staying with Family,162
215,0,1,0,0,1,$140 ,0,39,In-Relationship,0,Rented,155
216,0,0,0,1,1,$183 ,1,53,Married,0,Rented,165
217,0,1,0,1,0,$156 ,0,46,"Unmarried,",1,Owns a house,189
218,1,1,0,0,0,$310 ,0,21,"Unmarried,",1,Owns a house,188
219,1,0,0,1,0,$59 ,1,35,In-Relationship,0,Staying with Family,190
220,0,1,0,1,0,$251 ,0,22,In-Relationship,1,Rented,190
221,0,1,0,0,1,$89 ,0,18,"Unmarried,",0,Staying with Family,182
222,0,1,0,1,0,$286 ,0,49,In-Relationship,1,Owns a house,156
223,1,1,0,0,0,$252 ,0,49,"Unmarried,",1,Staying with Family,167
224,0,1,0,1,0,$77 ,0,41,In-Relationship,0,Staying with Family,163
225,1,1,0,0,0,$48 ,0,19,In-Relationship,0,Owns a house,182
226,1,1,0,0,0,$282 ,0,44,"Unmarried,",1,Staying with Family,184
227,0,1,0,1,0,$321 ,0,21,Married,0,Rented,188
228,0,1,0,1,0,$239 ,1,44,Married,0,Owns a house,179
229,1,1,0,0,0,$143 ,1,21,Married,1,Rented,180
230,0,1,0,0,1,$60 ,0,24,In-Relationship,1,Staying with Family,172
231,1,1,0,0,0,$97 ,1,41,"Unmarried,",1,Staying with Family,187
232,1,1,0,0,0,$110 ,1,55,In-Relationship,1,Owns a house,190
233,0,0,0,1,1,$116 ,1,55,Married,1,Rented,154
234,0,1,0,1,0,$84 ,1,41,"Unmarried,",0,Owns a house,185
235,0,1,0,0,1,$153 ,1,34,"Unmarried,",1,Staying with Family,190
236,0,1,0,1,0,$241 ,0,51,Married,0,Owns a house,175
237,1,0,0,0,1,$130 ,1,52,Married,1,Owns a house,158
238,1,0,0,1,0,$195 ,0,21,Married,0,Staying with Family,157
239,0,1,0,1,0,$79 ,1,30,In-Relationship,0,Rented,184
240,0,0,1,1,0,$318 ,0,37,Married,1,Staying with Family,181
241,0,1,0,1,0,$246 ,1,51,In-Relationship,0,Rented,180
242,0,1,1,0,0,$160 ,0,45,"Unmarried,",0,Staying with Family,179
243,1,1,0,0,0,$292 ,1,44,Married,0,Rented,190
244,1,1,0,0,0,$246 ,0,50,"Unmarried,",0,Staying with Family,159
245,1,1,0,0,0,$143 ,1,49,"Unmarried,",1,Rented,182
246,0,1,0,0,1,$206 ,1,27,In-Relationship,0,Owns a house,154
247,0,1,0,1,0,$229 ,0,25,Married,0,Rented,175
248,1,0,0,0,1,$230 ,1,44,"Unmarried,",0,Staying with Family,156
249,0,1,0,1,0,$175 ,1,50,Married,0,Staying with Family,166
250,1,1,0,0,0,$346 ,0,54,"Unmarried,",0,Owns a house,188
251,1,0,0,1,0,$196 ,0,36,"Unmarried,",1,Rented,170
252,0,0,1,1,0,$288 ,0,20,Married,1,Owns a house,184
253,0,1,0,0,1,$128 ,1,34,Married,0,Owns a house,156
254,0,1,0,1,0,$126 ,1,37,Married,1,Rented,183
255,1,0,0,0,1,$215 ,1,32,Married,1,Staying with Family,178
256,0,1,0,1,0,$298 ,0,46,In-Relationship,0,Rented,168
257,1,0,0,0,1,$41 ,0,21,In-Relationship,0,Rented,190
258,0,1,0,1,0,$60 ,0,30,In-Relationship,1,Staying with Family,153
259,0,1,0,1,0,$85 ,1,52,"Unmarried,",1,Rented,150
260,0,0,1,1,0,$136 ,1,48,Married,1,Rented,152
261,1,0,1,0,0,$263 ,1,41,In-Relationship,0,Owns a house,175
262,1,0,0,0,1,$268 ,0,31,"Unmarried,",1,Owns a house,182
263,0,1,0,1,0,$129 ,0,35,"Unmarried,",1,Owns a house,183
264,0,1,0,1,0,$114 ,1,53,In-Relationship,0,Staying with Family,175
265,0,1,0,0,1,$170 ,0,22,Married,1,Owns a house,153
266,1,1,0,0,0,$182 ,0,40,In-Relationship,1,Staying with Family,170
267,0,1,0,1,0,$139 ,0,19,Married,1,Rented,163
268,1,1,0,0,0,$217 ,1,23,In-Relationship,0,Staying with Family,167
269,0,0,0,1,1,$138 ,0,21,Married,1,Staying with Family,166
270,0,0,1,1,0,$243 ,0,35,"Unmarried,",1,Staying with Family,175
271,0,1,0,0,1,$116 ,1,52,"Unmarried,",1,Rented,168
272,0,1,0,0,1,$150 ,0,22,Married,1,Owns a house,165
273,0,1,0,0,1,$157 ,0,54,In-Relationship,0,Owns a house,161
274,1,0,1,0,0,$254 ,1,44,Married,1,Staying with Family,164
275,0,1,0,1,0,$66 ,1,20,Married,0,Owns a house,189
276,1,0,0,1,0,$275 ,0,26,Married,0,Owns a house,157
277,1,1,0,0,0,$305 ,1,45,Married,0,Staying with Family,172
278,0,0,0,1,1,$165 ,0,55,Married,1,Rented,189
279,0,1,0,0,1,$344 ,1,29,Married,1,Owns a house,189
280,0,0,1,0,1,$340 ,1,43,"Unmarried,",1,Rented,171
281,1,1,0,0,0,$327 ,1,40,"Unmarried,",1,Staying with Family,163
282,0,1,0,0,1,$214 ,1,31,Married,0,Owns a house,185
283,0,1,0,0,1,$107 ,1,28,Married,0,Owns a house,169
284,1,0,0,1,0,$294 ,0,27,In-Relationship,0,Staying with Family,154
285,1,1,0,0,0,$223 ,0,28,In-Relationship,0,Staying with Family,178
286,0,1,0,0,1,$163 ,0,48,Married,1,Owns a house,152
287,1,1,0,0,0,$224 ,0,21,In-Relationship,0,Owns a house,162
288,1,0,0,0,1,$71 ,0,41,Married,0,Rented,170
289,0,1,0,0,1,$45 ,1,34,"Unmarried,",1,Owns a house,187
290,0,1,0,0,1,$80 ,0,37,Married,1,Staying with Family,172
291,0,1,0,1,0,$101 ,1,30,In-Relationship,1,Owns a house,187
292,1,0,0,1,0,$78 ,1,50,In-Relationship,1,Rented,188
293,0,1,0,0,1,$98 ,1,38,In-Relationship,0,Owns a house,153
294,0,1,0,0,1,$38 ,0,36,In-Relationship,1,Staying with Family,173
295,1,0,0,0,1,$103 ,1,38,"Unmarried,",0,Staying with Family,184
296,0,1,0,0,1,$192 ,0,49,"Unmarried,",1,Rented,159
297,0,1,0,0,1,$345 ,0,54,Married,0,Rented,181
298,1,0,0,1,0,$232 ,0,36,"Unmarried,",0,Rented,178
299,0,1,0,1,0,$137 ,0,26,"Unmarried,",0,Owns a house,152
300,1,0,0,0,1,$97 ,0,25,Married,1,Staying with Family,189
301,1,1,0,0,0,$214 ,1,50,Married,1,Staying with Family,150
302,0,1,0,1,0,$302 ,0,20,Married,0,Rented,184
303,0,1,0,1,0,$252 ,0,45,Married,0,Owns a house,182
304,0,0,0,1,1,$300 ,1,41,In-Relationship,0,Staying with Family,169
305,1,1,0,0,0,$74 ,1,44,"Unmarried,",0,Staying with Family,184
306,1,1,0,0,0,$40 ,0,27,Married,0,Owns a house,152
307,0,1,0,0,1,$247 ,0,22,Married,0,Staying with Family,171
308,1,1,0,0,0,$96 ,0,42,In-Relationship,0,Owns a house,159
309,0,0,0,1,1,$213 ,1,51,"Unmarried,",0,Owns a house,155
310,0,0,1,1,0,$262 ,1,30,"Unmarried,",1,Rented,178
311,1,1,0,0,0,$222 ,0,35,In-Relationship,1,Owns a house,190
312,1,1,0,0,0,$312 ,1,22,In-Relationship,1,Staying with Family,155
313,0,1,0,1,0,$112 ,0,23,In-Relationship,1,Owns a house,154
314,0,0,0,1,1,$87 ,0,29,"Unmarried,",1,Staying with Family,175
315,0,0,1,1,0,$51 ,1,37,In-Relationship,1,Rented,186
316,1,1,0,0,0,$251 ,1,34,Married,0,Rented,178
317,0,1,0,1,0,$214 ,0,48,In-Relationship,0,Staying with Family,176
318,0,1,0,0,1,$132 ,0,51,Married,1,Staying with Family,174
319,1,0,0,1,0,$199 ,0,46,In-Relationship,1,Owns a house,161
320,0,1,0,1,0,$59 ,1,20,"Unmarried,",0,Rented,166
321,0,1,0,1,0,$249 ,1,37,In-Relationship,0,Owns a house,163
322,0,1,0,0,1,$229 ,0,51,Married,0,Staying with Family,185
323,1,0,0,0,1,$115 ,1,23,Married,0,Rented,157
324,0,1,0,0,1,$68 ,0,53,Married,0,Owns a house,167
325,0,1,0,1,0,$242 ,0,53,In-Relationship,0,Owns a house,185
326,0,1,0,1,0,$179 ,1,42,"Unmarried,",0,Rented,153
327,1,0,0,1,0,$186 ,0,25,In-Relationship,0,Owns a house,187
328,1,1,0,0,0,$153 ,1,26,In-Relationship,0,Staying with Family,187
329,0,0,0,1,1,$306 ,0,47,Married,1,Staying with Family,158
330,0,1,0,0,1,$204 ,1,30,In-Relationship,0,Rented,153
331,1,1,0,0,0,$144 ,1,45,In-Relationship,0,Staying with Family,171
332,1,1,0,0,0,$197 ,0,25,Married,1,Staying with Family,167
333,1,1,0,0,0,$208 ,0,43,"Unmarried,",1,Staying with Family,169
334,1,0,1,0,0,$180 ,0,52,In-Relationship,0,Staying with Family,152
335,0,0,1,1,0,$45 ,0,40,In-Relationship,0,Staying with Family,185
336,0,1,0,1,0,$227 ,1,27,Married,0,Rented,180
337,1,1,0,0,0,$169 ,0,42,Married,0,Staying with Family,189
338,1,1,0,0,0,$256 ,0,24,"Unmarried,",1,Owns a house,176
339,0,1,0,1,0,$94 ,0,55,Married,0,Owns a house,190
340,1,1,0,0,0,$280 ,0,29,"Unmarried,",1,Owns a house,150
341,1,0,1,0,0,$64 ,0,28,In-Relationship,1,Owns a house,179
342,0,1,0,1,0,$250 ,1,52,"Unmarried,",0,Staying with Family,150
343,0,1,0,1,0,$246 ,0,46,In-Relationship,0,Staying with Family,176
344,1,0,1,0,0,$171 ,0,25,In-Relationship,1,Staying with Family,150
345,0,1,1,0,0,$107 ,1,37,"Unmarried,",1,Staying with Family,158
346,1,1,0,0,0,$336 ,1,32,Married,0,Rented,176
347,1,1,0,0,0,$167 ,1,26,In-Relationship,1,Owns a house,176
348,1,1,0,0,0,$287 ,1,34,In-Relationship,1,Owns a house,182
349,0,1,0,0,1,$286 ,0,27,Married,1,Owns a house,178
350,0,1,0,1,0,$350 ,1,29,Married,0,Owns a house,156
351,1,0,0,1,0,$36 ,0,48,Married,1,Owns a house,177
352,0,1,0,0,1,$156 ,1,34,Married,0,Rented,156
353,1,0,0,0,1,$204 ,0,20,Married,0,Rented,165
354,0,1,0,1,0,$320 ,0,44,Married,0,Owns a house,169
355,0,1,0,1,0,$348 ,0,48,Married,1,Rented,173
356,0,1,0,1,0,$105 ,1,48,"Unmarried,",1,Rented,162
357,0,1,0,1,0,$217 ,0,40,In-Relationship,0,Rented,166
358,1,1,0,0,0,$234 ,1,51,In-Relationship,0,Rented,185
359,1,1,0,0,0,$351 ,0,43,"Unmarried,",0,Staying with Family,188
360,0,0,1,0,1,$303 ,0,51,In-Relationship,0,Rented,190
361,0,1,1,0,0,$259 ,1,42,"Unmarried,",1,Rented,158
362,0,1,0,0,1,$56 ,0,24,Married,0,Owns a house,172
363,0,1,0,1,0,$230 ,1,30,"Unmarried,",1,Rented,188
364,0,1,0,0,1,$238 ,0,51,"Unmarried,",0,Owns a house,155
365,1,0,1,0,0,$95 ,0,49,Married,1,Staying with Family,162
366,0,0,1,0,1,$300 ,0,44,In-Relationship,1,Staying with Family,154
367,0,0,0,1,1,$173 ,0,35,"Unmarried,",1,Owns a house,170
368,0,1,0,1,0,$250 ,1,44,"Unmarried,",1,Rented,159
369,1,1,0,0,0,$37 ,1,53,In-Relationship,1,Staying with Family,185
370,0,1,0,1,0,$290 ,0,54,"Unmarried,",0,Rented,151
371,0,1,0,1,0,$327 ,1,36,Married,0,Staying with Family,166
372,0,1,0,1,0,$247 ,1,35,"Unmarried,",0,Rented,186
373,1,1,0,0,0,$279 ,0,29,Married,1,Staying with Family,186
374,0,1,0,1,0,$275 ,0,53,"Unmarried,",0,Rented,180
375,0,1,0,1,0,$181 ,1,33,Married,0,Owns a house,180
376,0,1,0,1,0,$245 ,1,33,Married,1,Rented,156
